date,runoff_coefficient,evapotranspiration_ratio,storage_efficiency,water_balance_index,aridity_index,wb_error_pct
2023-04-06,0.11317243761311853,1.5,0.0030874002,-0.6365417366926482,1.6365415227996118,-74.90890516839072
2023-04-07,0.0502480103194323,0.7230564184694394,0.0030781112,0.2769434868186071,0.7230564184694394,22.775121581746042
2023-04-08,0.047652311394830504,0.6793831611349435,0.0030745156,0.3206167493611932,0.6793831611349435,27.335061146246954
2023-04-09,0.05951508390478568,0.8505627138171887,0.003074844,0.14943717439144924,0.8505627138171887,8.987807282970964
2023-04-10,0.038177967381116604,0.5366084781371729,0.0030758255,0.4633914507677186,0.5366084781371729,42.512973148609426
2023-04-11,0.10198401908841803,1.4692468268196808,0.003072325,-0.46924701814486464,1.4692468268196808,-57.04272582912995
2023-04-12,0.023300658654423864,0.3252406171313127,0.0030793583,0.6747593403152442,0.3252406171313127,65.10995146300985
2023-04-13,0.03229886498262333,0.45303749392290404,0.0030789122,0.5469624461711113,0.45303749392290404,51.46956279959569
2023-04-14,0.12743378147652426,1.5,0.0030777077,-0.8418935700879994,1.84189332963015,-96.89800344016865
2023-04-15,0.06952944559666376,0.9698823138844357,0.0030871036,0.03011755894174266,0.9698823138844357,-4.084586919941621
2023-04-16,0.166695645696668,1.5,0.0030999267,-1.288198533057448,2.28819823448763,-145.94883077320011
2023-04-17,0.1015416362157091,1.3611465902668773,0.003111968,-0.3611467672854433,1.3611465902668773,-46.524639805015596
2023-04-18,0.04101832239668776,0.5326281707794691,0.0031231118,0.4673717598744346,0.5326281707794691,42.542613293036965
2023-04-19,0.1815301975166398,1.5,0.0031304678,-1.3607778206003147,2.3607775151514234,-154.50041884342394
2023-04-20,0.05815037680431747,0.7341596582120055,0.0031401403,0.26584024670702117,0.7341596582120055,20.658624320357067
2023-04-21,0.04246489027736233,0.5238815725762167,0.003149023,0.4761183591841777,0.5238815725762167,43.29261124903163
2023-04-22,0.07798700977006336,0.9641945287359647,0.003155148,0.035805345873878465,0.9641945287359647,-4.31032924788603
2023-04-23,0.15490339099437148,1.5,0.0031668528,-0.8798204129532792,1.8798201694546794,-103.81438724227277
2023-04-24,0.06788270264938857,0.7930702918878415,0.0031793516,0.20692960483728587,0.7930702918878415,13.74979713996532
2023-04-25,0.05554293157611154,0.6366957200945437,0.0031886653,0.36330419695928645,0.6366957200945437,30.683424992055496
2023-04-26,0.10430192447336413,1.1967418944215746,0.003189983,-0.1967420499096498,1.1967418944215746,-30.1289858689469
2023-04-27,0.2404476221654751,1.5,0.0031990085,-1.7268810493013085,2.7268806958533967,-197.1156696708101
2023-04-28,0.07899108000938995,0.8713409595902413,0.0032129146,0.12865892721332556,0.8713409595902413,4.777889381530661
2023-04-29,0.2054097069444673,1.5,0.0032200716,-1.2366570782507544,2.236656786864875,-144.45695244230475
2023-04-30,0.08101614834580018,0.8784001381106831,0.003223417,0.12159974820252457,0.8784001381106831,4.012713737150418
2023-05-01,0.06191752017884226,0.6551267575486686,0.0032276737,0.3448731566900696,0.6551267575486686,28.25175834195334
2023-05-02,0.12743206826219694,1.3722180793889625,0.0032209787,-0.37221825815195486,1.3722180793889625,-49.82141035472956
