date,longitude,latitude,elevation_m,slope_degree,rainfall,temperature,soil_moisture,ndvi,evapotranspiration
2023-02-27,110.4200,-7.0300,0,7.3485,9.2193,23.2738,0.3000,0.5000,7.5152
2023-02-28,110.4200,-7.0300,0,7.3485,14.8597,23.7122,0.3000,0.5000,7.5079
2023-03-01,110.4200,-7.0300,0,7.3485,29.8741,23.6879,0.3000,0.5000,7.4178
2023-03-02,110.4200,-7.0300,0,7.3485,18.6643,22.7295,0.3000,0.5000,7.4093
2023-03-03,110.4200,-7.0300,0,7.3485,6.4758,24.3848,0.3000,0.5000,7.6143
2023-03-04,110.4200,-7.0300,0,7.3485,13.3753,23.9595,0.3000,0.5000,7.5360
2023-03-05,110.4200,-7.0300,0,7.3485,12.9564,24.3582,0.3000,0.5000,7.5676
2023-03-06,110.4200,-7.0300,0,7.3485,11.2630,24.5765,0.3000,0.5000,7.5951
2023-03-07,110.4200,-7.0300,0,7.3485,20.4249,24.5893,0.3000,0.5000,7.5583
2023-03-08,110.4200,-7.0300,0,7.3485,13.5272,24.0409,0.3000,0.5000,7.5408
2023-03-09,110.4200,-7.0300,0,7.3485,2.9307,24.4733,0.3000,0.5000,7.6451
2023-03-10,110.4200,-7.0300,0,7.3485,7.5985,24.8873,0.3000,0.5000,7.6428
2023-03-11,110.4200,-7.0300,0,7.3485,6.4630,25.0402,0.3000,0.5000,7.6616
2023-03-12,110.4200,-7.0300,0,7.3485,3.8997,25.1621,0.3000,0.5000,7.6881
2023-03-13,110.4200,-7.0300,0,7.3485,0.6130,24.9725,0.3000,0.5000,7.6971
2023-03-14,110.4200,-7.0300,0,7.3485,7.3216,24.5170,0.3000,0.5000,7.6180
2023-03-15,110.4200,-7.0300,0,7.3485,2.6386,24.7066,0.3000,0.5000,7.6639
2023-03-16,110.4200,-7.0300,0,7.3485,0.0151,25.4880,0.3000,0.5000,7.7384
2023-03-17,110.4200,-7.0300,0,7.3485,7.8974,24.9471,0.3000,0.5000,7.6450
2023-03-18,110.4200,-7.0300,0,7.3485,3.2380,24.9726,0.3000,0.5000,7.6790
2023-03-19,110.4200,-7.0300,0,7.3485,2.0222,25.1910,0.3000,0.5000,7.7032
2023-03-20,110.4200,-7.0300,0,7.3485,20.4703,24.5604,0.3000,0.5000,7.5539
2023-03-21,110.4200,-7.0300,0,7.3485,7.6930,25.2873,0.3000,0.5000,7.6710
2023-03-22,110.4200,-7.0300,0,7.3485,7.7913,25.1770,0.3000,0.5000,7.6623
2023-03-23,110.4200,-7.0300,0,7.3485,2.8362,25.6941,0.3000,0.5000,7.7338
2023-03-24,110.4200,-7.0300,0,7.3485,8.7253,25.4218,0.3000,0.5000,7.6888
2023-03-25,110.4200,-7.0300,0,7.3485,22.0377,24.5895,0.3000,0.5000,7.5579
